'COMPROMISOTOMADODELPPTO.DISPONIBLE',COMPROMISO,RESERVA,OLI,CONCEPTO_PAGO,ID_RAMO,CANI,ID_UNIDAD,CGFU,CFUN,CSFU,CPRG,CAIN,CPPT,CCAP,CCON,CPARG,CPAR,CTGA,CFIN,CCAU,CCOP,CGEO,CPLA,CPPI,OFIN,AUX1,AUX2,AUX3,MES,SALDO_ARRASTRE
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,1,3,04,00,001,O001,1,1,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,09,20925
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,1,3,04,00,001,O001,1,4,1,05,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,09,10684.32
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,1,3,04,00,001,O001,1,4,2,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,09,21406
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,1,3,04,00,001,O001,1,4,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,09,8563
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,02,00,018,E031,1,1,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,1247800011,09,3989432.76
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,02,00,018,E031,1,3,4,04,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,1247800011,08,25582.41
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,02,00,018,E031,1,4,1,05,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,1247800011,09,1976678
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,02,00,018,E031,1,4,2,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,1247800011,09,2688862.51
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,02,00,018,E031,1,4,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,1247800011,09,1075541.73
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,03,00,019,Q008,1,2,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3000000000,09,58438.24
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,03,00,019,Q008,1,4,1,05,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,28807.68
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,03,00,019,Q008,1,4,2,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,117282
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,03,00,019,Q008,1,4,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,46913
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,04,00,002,M001,1,1,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000000,09,21219.36
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,04,00,002,M001,1,4,1,05,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000000,09,10750.52
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,04,00,002,M001,1,4,2,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000000,09,140040
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,2,3,04,00,002,M001,1,4,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000000,09,56016
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,3,8,01,00,024,Q008,1,1,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,271002.75
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,3,8,01,00,024,Q008,1,4,1,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,08,4797.89
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,3,8,01,00,024,Q008,1,4,1,05,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,196898.46
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,3,8,01,00,024,Q008,1,4,2,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,534489
compromiso para servicios personales (nómina),000008,,,SERVICIOS PERSONALES 2026,12,2026,NCD,3,8,01,00,024,Q008,1,4,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,3700000000,09,213796
compromiso para servicios personales (nómina),000015,,,COMPROMISO PARA EL EJERCICIO PRESUPUESTAL DE LA NÓMINA 2026,12,2026,NCH,1,3,04,00,001,O001,1,1,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,09,126823
compromiso para servicios personales (nómina),000015,,,COMPROMISO PARA EL EJERCICIO PRESUPUESTAL DE LA NÓMINA 2026,12,2026,NCH,1,3,04,00,001,O001,1,1,3,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,10,174680
compromiso para servicios personales (nómina),000015,,,COMPROMISO PARA EL EJERCICIO PRESUPUESTAL DE LA NÓMINA 2026,12,2026,NCH,1,3,04,00,001,O001,1,3,1,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,09,2030
compromiso para servicios personales (nómina),000015,,,COMPROMISO PARA EL EJERCICIO PRESUPUESTAL DE LA NÓMINA 2026,12,2026,NCH,1,3,04,00,001,O001,1,3,1,01,1,1,0000000000,20,09,000,00000000000,000,SP010,00000,0000000013,10,2030
